10167.00, 0.92, 18148.00, 0.72, 963.00, 0.77
55.00, 0.13, 1782.00, 0.05, 13204.00, 0.14
16699.00, 0.95, 4550.00, 0.84, 5197.00, 0.82
6184.00, 0.05, 6181.00, 0.08, 686.00, 0.17
3385.00, 0.23, 6086.00, 0.19, 2364.00, 0.37
242.00, 0.11, 272.00, 0.08, 5980.00, 0.05
240.00, 0.07, 271.00, 0.08, 12553.00, 0.11
3337.00, 0.96, 6736.00, 0.79, 4939.00, 0.92
23713.00, 0.50, 3202.00, 0.13, 275.00, 0.17
274.00, 0.17, 3600.00, 0.38, 6444.00, 0.10
3690.00, 0.84, 2286.00, 0.83, 2815.00, 0.70
16214.00, 0.86, 3494.00, 0.87, 5449.00, 0.84
2710.00, 0.08, 327.00, 0.15, 279.00, 0.21
278.00, 0.21, 7380.00, 0.08, 16197.00, 0.14
15488.00, 0.72, 7086.00, 0.80, 10230.00, 0.76
14815.00, 0.75, 765.00, 0.84, 8298.00, 0.84
4089.00, 0.48, 1208.00, 0.22, 5952.00, 0.13
13912.00, 0.73, 3017.00, 0.75, 4056.00, 0.85
5291.00, 0.16, 8126.00, 0.16, 8934.00, 0.39
16610.00, 0.88, 9824.00, 0.85, 8783.00, 0.96
287.00, 0.14, 3213.00, 0.17, 1127.00, 0.23
286.00, 0.14, 13583.00, 0.21, 1052.00, 0.20
289.00, 0.20, 2650.00, 0.37, 3412.00, 0.23
288.00, 0.20, 4452.00, 0.13, 3413.00, 0.23
18159.00, 0.91, 20080.00, 0.80, 6849.00, 0.74
619.00, 0.92, 19902.00, 0.88, 14447.00, 0.83
20808.00, 0.85, 19393.00, 0.88, 3942.00, 0.96
21919.00, 0.86, 15859.00, 0.82, 6737.00, 0.79
2535.00, 0.27, 6047.00, 0.12, 3339.00, 0.20
17280.00, 0.96, 1311.00, 0.89, 11283.00, 1.02
8998.00, 0.90, 22723.00, 1.08, 9210.00, 0.86
21257.00, 0.83, 9221.00, 0.94, 5889.00, 0.89
6319.00, 0.90, 22994.00, 0.82, 7100.00, 0.87
4755.00, 0.41, 332.00, 0.08, 4756.00, 0.16
53.00, 0.13, 1536.00, 0.19, 56.00, 0.09
21.00, 0.06, 8137.00, 0.23, 22.00, 0.14
14148.00, 0.93, 1856.00, 0.93, 18654.00, 0.84
1570.00, 0.40, 3654.00, 0.17, 305.00, 0.09
4433.00, 0.35, 1570.00, 0.34, 1083.00, 0.37
303.00, 0.09, 1569.00, 0.07, 12963.00, 0.19
2278.00, 0.36, 1618.00, 0.08, 13743.00, 0.39
12458.00, 0.84, 3770.00, 0.87, 10430.00, 0.88
4709.00, 0.09, 3331.00, 0.05, 2262.00, 0.20
310.00, 0.12, 2661.00, 0.11, 13981.00, 0.27
309.00, 0.12, 9532.00, 0.14, 8838.00, 0.19
18581.00, 0.90, 2125.00, 0.87, 17818.00, 0.88
14416.00, 0.92, 14790.00, 0.77, 631.00, 0.90
314.00, 0.14, 16561.00, 0.11, 13205.00, 0.11
313.00, 0.14, 1175.00, 0.12, 1832.00, 0.07
7639.00, 0.98, 23943.00, 0.89, 24284.00, 0.83
11813.00, 0.76, 13768.00, 0.80, 11276.00, 0.83
6218.00, 0.68, 3802.00, 0.78, 23394.00, 0.89
3241.00, 0.93, 18155.00, 0.96, 16939.00, 0.96
9852.00, 0.94, 8765.00, 0.85, 5632.00, 0.96
6154.00, 0.81, 20598.00, 0.94, 2805.00, 0.87
6209.00, 0.79, 4773.00, 0.88, 24220.00, 0.72
23326.00, 0.84, 7345.00, 0.67, 18234.00, 0.84
360.00, 0.78, 4290.00, 0.85, 11903.00, 0.82
9151.00, 0.88, 832.00, 0.82, 16354.00, 0.80
1456.00, 0.83, 8646.00, 0.79, 8289.00, 0.89
22735.00, 0.71, 22776.00, 0.82, 23177.00, 0.95
278.00, 0.15, 5514.00, 0.21, 1041.00, 0.15
1153.00, 0.87, 9554.00, 0.97, 7511.00, 0.88
23075.00, 0.77, 11344.00, 0.88, 7874.00, 0.68
10957.00, 0.80, 14577.00, 0.76, 7285.00, 0.78
16378.00, 0.05, 10338.00, 0.23, 332.00, 0.07
299.00, 0.08, 331.00, 0.07, 1751.00, 0.19
34.00, 0.12, 10347.00, 0.30, 11043.00, 0.12
2928.00, 0.80, 21886.00, 0.85, 19353.00, 0.82
21115.00, 1.00, 20554.00, 0.85, 19918.00, 0.89
23496.00, 1.03, 3215.00, 0.91, 22812.00, 0.80
7496.00, 1.04, 12398.00, 0.78, 20805.00, 0.88
3037.00, 0.83, 17242.00, 0.97, 9320.00, 0.90
826.00, 0.83, 2773.00, 0.95, 22996.00, 0.78
19314.00, 0.91, 8555.00, 0.93, 21520.00, 0.84
16495.00, 0.31, 1065.00, 0.40, 16639.00, 0.38
15098.00, 0.77, 13298.00, 0.72, 7047.00, 0.73
20247.00, 0.91, 9864.00, 0.98, 18767.00, 0.88
22852.00, 0.81, 3035.00, 0.76, 588.00, 0.89
5265.00, 1.00, 14982.00, 0.81, 3843.00, 0.71
14748.00, 0.80, 3169.00, 0.91, 18173.00, 0.80
17380.00, 0.99, 4299.00, 0.93, 10937.00, 0.92
5232.00, 0.85, 10295.00, 0.78, 8353.00, 0.88
11390.00, 0.85, 2315.00, 0.72, 7453.00, 0.74
1981.00, 0.35, 2525.00, 0.22, 947.00, 0.20
11614.00, 0.82, 15350.00, 0.72, 23223.00, 0.79
5066.00, 0.80, 2083.00, 0.88, 13101.00, 0.89
12078.00, 0.86, 21089.00, 0.76, 15798.00, 0.77
2860.00, 0.81, 11315.00, 0.83, 12509.00, 0.78
7689.00, 0.85, 9985.00, 0.89, 2927.00, 0.92
10371.00, 0.86, 14631.00, 0.89, 10821.00, 0.77
2946.00, 0.89, 7145.00, 0.82, 6540.00, 0.75
15939.00, 0.90, 19173.00, 0.84, 7226.00, 0.80
8041.00, 0.83, 10302.00, 0.92, 5591.00, 0.72
323.00, 0.78, 9634.00, 0.88, 6808.00, 0.74
4942.00, 0.86, 18718.00, 0.92, 8257.00, 0.88
1079.00, 0.36, 1084.00, 0.07, 13324.00, 0.36
364.00, 0.79, 1987.00, 0.91, 5111.00, 0.81
363.00, 0.79, 4632.00, 0.79, 18880.00, 0.87
11344.00, 0.77, 13106.00, 0.85, 2160.00, 0.85
18270.00, 0.53, 6810.00, 0.73, 8274.00, 0.34
5494.00, 0.80, 19402.00, 0.88, 23973.00, 0.79
7442.00, 0.80, 18815.00, 0.82, 13197.00, 0.84
3314.00, 0.35, 10772.00, 0.23, 5004.00, 0.44
5486.00, 0.85, 15843.00, 0.80, 24263.00, 1.02
20005.00, 0.83, 20556.00, 0.81, 15762.00, 0.83
2949.00, 0.90, 3195.00, 0.88, 5353.00, 0.91
12799.00, 0.87, 7566.00, 0.79, 3000.00, 0.85
16539.00, 0.98, 15500.00, 0.88, 15580.00, 0.87
5200.00, 0.84, 7909.00, 0.92, 23309.00, 0.93
3231.00, 0.90, 11677.00, 1.00, 2725.00, 0.99
18213.00, 0.93, 8657.00, 0.97, 23558.00, 0.88
16343.00, 0.81, 17641.00, 0.85, 13114.00, 0.88
7275.00, 0.91, 18175.00, 0.80, 3948.00, 0.87
4837.00, 0.90, 23508.00, 0.81, 24045.00, 0.91
3842.00, 0.83, 15761.00, 0.74, 18048.00, 0.96
21615.00, 0.85, 20259.00, 0.98, 11041.00, 0.88
11188.00, 0.88, 15403.00, 0.86, 12937.00, 0.94
5879.00, 0.86, 18804.00, 0.86, 11791.00, 0.93
20338.00, 0.87, 2971.00, 0.82, 7839.00, 0.84
3523.00, 0.08, 1211.00, 0.23, 3522.00, 0.20
20588.00, 0.82, 16554.00, 0.78, 7828.00, 0.87
18519.00, 0.91, 17878.00, 0.80, 5389.00, 0.80
2523.00, 0.84, 10566.00, 0.81, 13984.00, 0.88
8366.00, 0.98, 12506.00, 0.96, 13960.00, 0.88
21495.00, 0.77, 14699.00, 0.82, 20289.00, 0.86
7229.00, 0.82, 4302.00, 0.98, 8797.00, 0.95
18939.00, 0.81, 11975.00, 0.78, 20629.00, 0.92
23789.00, 0.88, 23503.00, 0.85, 23417.00, 0.89
6140.00, 0.88, 11482.00, 0.82, 17332.00, 0.98
17498.00, 0.12, 6424.00, 0.38, 17497.00, 0.20
5379.00, 0.84, 21635.00, 0.82, 8929.00, 0.81
2287.00, 0.76, 18383.00, 0.93, 14026.00, 0.83
11646.00, 0.83, 6923.00, 0.78, 11770.00, 0.80
6932.00, 0.91, 8228.00, 0.92, 16802.00, 0.78
2695.00, 0.90, 9427.00, 0.87, 7811.00, 0.87
5023.00, 0.83, 10640.00, 0.88, 12487.00, 1.05
18587.00, 0.96, 12753.00, 0.74, 9147.00, 0.88
14795.00, 0.88, 3450.00, 0.94, 16983.00, 0.81
7872.00, 0.87, 12702.00, 0.94, 7935.00, 0.97
10081.00, 0.80, 14500.00, 0.81, 13445.00, 0.92
17673.00, 0.83, 6210.00, 0.83, 15451.00, 0.88
179.00, 0.87, 18192.00, 0.84, 16551.00, 0.82
12068.00, 0.88, 23982.00, 0.87, 23898.00, 0.80
648.00, 0.42, 6337.00, 0.69, 3838.00, 0.42
15232.00, 0.81, 12978.00, 0.74, 12422.00, 0.70
1366.00, 0.89, 3122.00, 0.93, 5766.00, 0.90
414.00, 0.82, 13983.00, 0.92, 20897.00, 0.95
413.00, 0.82, 15401.00, 0.82, 17367.00, 0.87
16418.00, 0.82, 15176.00, 0.94, 3525.00, 0.91
4222.00, 0.82, 22765.00, 0.93, 23966.00, 0.81
9632.00, 0.76, 14058.00, 0.93, 740.00, 0.76
691.00, 0.81, 4950.00, 0.83, 2091.00, 0.74
420.00, 0.08, 3414.00, 0.09, 3355.00, 0.09
419.00, 0.08, 4452.00, 0.23, 3559.00, 0.10
17097.00, 0.67, 2375.00, 0.61, 7333.00, 0.70
11545.00, 0.81, 13825.00, 0.97, 13164.00, 0.77
16867.00, 0.91, 645.00, 0.90, 5539.00, 0.90
21276.00, 0.94, 19336.00, 0.82, 6889.00, 0.76
21510.00, 0.87, 426.00, 0.86, 1815.00, 0.89
425.00, 0.86, 8023.00, 0.78, 7200.00, 0.84
19796.00, 0.82, 7927.00, 0.77, 18709.00, 0.80
2779.00, 0.83, 17639.00, 0.86, 7335.00, 0.72
16994.00, 0.86, 6760.00, 0.85, 15173.00, 0.91
8994.00, 0.85, 9869.00, 0.90, 8405.00, 0.80
20557.00, 0.98, 20104.00, 0.88, 17720.00, 0.87
23172.00, 0.91, 2640.00, 0.77, 12966.00, 0.86
6203.00, 0.91, 7805.00, 0.82, 16469.00, 1.01
1959.00, 0.93, 24305.00, 1.07, 807.00, 0.87
5587.00, 0.91, 16283.00, 0.93, 24092.00, 0.83
8384.00, 0.73, 6523.00, 0.45, 6356.00, 0.50
6837.00, 0.69, 3877.00, 0.62, 10881.00, 0.44
7669.00, 0.79, 13416.00, 0.76, 1275.00, 0.84
3877.00, 0.46, 7985.00, 0.40, 4633.00, 0.38
17925.00, 0.92, 3139.00, 0.85, 4259.00, 0.99
15290.00, 0.86, 22795.00, 0.90, 17303.00, 0.93
18362.00, 0.79, 7424.00, 0.71, 7056.00, 0.92
12457.00, 0.83, 12960.00, 0.77, 9593.00, 0.84
15748.00, 0.39, 10590.00, 0.40, 9042.00, 0.54
12153.00, 0.79, 14188.00, 0.85, 7652.00, 0.76
